('01',571,67,560,231,'pdf',0.4125),
('01',5,67,561,231,'pdf',0.4117647058823529),
('01',524,68,89,76,'pdf',0.8539325842696629),
('01',5,354,1126,118,'pdf',0.10479573712255773),
('01',0,481,1135,134,'pdf',0.11806167400881057),
('02',571,67,560,231,'pdf',0.4125),
('02',5,67,561,231,'pdf',0.4117647058823529),
('02',524,68,89,76,'pdf',0.8539325842696629),
('02',5,320,1126,118,'pdf',0.10479573712255773),
('03',571,67,560,231,'pdf',0.4125),
('03',5,67,561,231,'pdf',0.4117647058823529),
('03',524,68,89,76,'pdf',0.8539325842696629),
('03',5,354,1126,118,'pdf',0.10479573712255773),
('04',572,67,559,231,'pdf',0.41323792486583183),
('04',5,67,561,231,'pdf',0.4117647058823529),
('04',525,68,88,76,'pdf',0.8636363636363636),
('04',5,320,1126,118,'pdf',0.10479573712255773),
('05',572,67,559,231,'pdf',0.41323792486583183),
('05',5,67,561,231,'pdf',0.4117647058823529),
('05',525,68,88,76,'pdf',0.8636363636363636),
('05',5,320,1126,118,'pdf',0.10479573712255773),
('06',572,67,559,231,'pdf',0.41323792486583183),
('06',5,67,561,231,'pdf',0.4117647058823529),
('06',525,68,88,76,'pdf',0.8636363636363636),
('06',5,320,1126,118,'pdf',0.10479573712255773),
('07',572,67,559,231,'pdf',0.41323792486583183),
('07',5,67,561,231,'pdf',0.4117647058823529),
('07',525,68,88,76,'pdf',0.8636363636363636),
('07',5,354,1126,118,'pdf',0.10479573712255773),
('08',572,67,559,231,'pdf',0.41323792486583183),
('08',5,67,561,231,'pdf',0.4117647058823529),
('08',525,68,88,76,'pdf',0.8636363636363636),
('08',5,354,1126,118,'pdf',0.10479573712255773),
('08',0,481,1136,133,'pdf',0.11707746478873239),
('09',572,67,559,231,'pdf',0.41323792486583183),
('09',5,67,561,231,'pdf',0.4117647058823529),
('09',525,68,88,76,'pdf',0.8636363636363636),
('09',5,354,1126,118,'pdf',0.10479573712255773),
('10',572,67,559,231,'pdf',0.41323792486583183),
('10',5,67,561,231,'pdf',0.4117647058823529),
('10',525,68,88,76,'pdf',0.8636363636363636),
('10',5,354,1126,118,'pdf',0.10479573712255773),
('11',572,67,559,231,'pdf',0.41323792486583183),
('11',5,67,561,231,'pdf',0.4117647058823529),
('11',525,68,88,76,'pdf',0.8636363636363636),
('11',5,354,1126,118,'pdf',0.10479573712255773),
('12',572,67,559,231,'pdf',0.41323792486583183),
('12',5,67,561,231,'pdf',0.4117647058823529),
('12',525,68,88,76,'pdf',0.8636363636363636),
('12',5,354,1126,118,'pdf',0.10479573712255773),
('13',572,67,559,231,'pdf',0.41323792486583183),
('13',4,67,562,231,'pdf',0.4110320284697509),
('13',524,68,88,76,'pdf',0.8636363636363636),
('13',4,354,1126,118,'pdf',0.10479573712255773),
('14',572,67,559,231,'pdf',0.41323792486583183),
('14',5,67,561,231,'pdf',0.4117647058823529),
('14',525,68,88,76,'pdf',0.8636363636363636),
('14',5,354,1126,118,'pdf',0.10479573712255773),
('14',0,481,1136,215,'pdf',0.1892605633802817),
('15',572,67,559,231,'pdf',0.41323792486583183),
('15',5,67,561,231,'pdf',0.4117647058823529),
('15',525,68,88,76,'pdf',0.8636363636363636),
('15',5,354,1126,118,'pdf',0.10479573712255773),
('16',572,67,559,231,'pdf',0.41323792486583183),
('16',5,67,561,231,'pdf',0.4117647058823529),
('16',525,68,88,76,'pdf',0.8636363636363636),
('16',5,354,1126,118,'pdf',0.10479573712255773),
('17',572,67,559,231,'pdf',0.41323792486583183),
('17',5,67,561,231,'pdf',0.4117647058823529),
('17',525,68,88,76,'pdf',0.8636363636363636),
('17',5,354,1126,118,'pdf',0.10479573712255773),
('18',572,67,559,231,'pdf',0.41323792486583183),
('18',5,67,561,231,'pdf',0.4117647058823529),
('18',525,68,88,76,'pdf',0.8636363636363636),
('18',5,354,1126,118,'pdf',0.10479573712255773),
('18',0,481,1136,119,'pdf',0.10475352112676056),
('19',572,67,559,231,'pdf',0.41323792486583183),
('19',5,67,561,231,'pdf',0.4117647058823529),
('19',525,68,88,76,'pdf',0.8636363636363636),
('19',5,354,1126,118,'pdf',0.10479573712255773),
('20',572,67,559,231,'pdf',0.41323792486583183),
('20',5,67,561,231,'pdf',0.4117647058823529),
('20',525,68,88,76,'pdf',0.8636363636363636),
('20',5,320,1126,118,'pdf',0.10479573712255773),
('20',0,447,1136,138,'pdf',0.12147887323943662),
('21',572,67,559,231,'pdf',0.41323792486583183),
('21',5,67,561,231,'pdf',0.4117647058823529),
('21',525,68,88,76,'pdf',0.8636363636363636),
('21',5,320,1126,118,'pdf',0.10479573712255773),
('22',572,67,559,231,'pdf',0.41323792486583183),
('22',5,67,561,231,'pdf',0.4117647058823529),
('22',525,68,88,76,'pdf',0.8636363636363636),
('22',5,354,1126,118,'pdf',0.10479573712255773),
('23',572,67,559,231,'pdf',0.41323792486583183),
('23',5,67,561,231,'pdf',0.4117647058823529),
('23',525,68,88,136,'pdf',1.5454545454545454),
('23',5,320,1126,118,'pdf',0.10479573712255773),
('24',572,67,559,231,'pdf',0.41323792486583183),
('24',5,67,561,231,'pdf',0.4117647058823529),
('24',525,68,88,76,'pdf',0.8636363636363636),
('24',5,354,1126,118,'pdf',0.10479573712255773),
('24',0,478,1136,117,'pdf',0.10299295774647887),
('25',572,67,559,231,'pdf',0.41323792486583183),
('25',5,67,561,231,'pdf',0.4117647058823529),
('25',525,68,88,76,'pdf',0.8636363636363636),
('25',5,354,1126,118,'pdf',0.10479573712255773),
('25',0,481,1136,138,'pdf',0.12147887323943662),
('26',572,67,559,231,'pdf',0.41323792486583183),
('26',5,67,561,231,'pdf',0.4117647058823529),
('26',525,68,88,76,'pdf',0.8636363636363636),
('26',5,354,1126,118,'pdf',0.10479573712255773),
('27',572,67,559,231,'pdf',0.41323792486583183),
